State,Age,Gender,Age Range,"In politics today, do you consider yourself a Democrat, a Republican, or Independent? ","Would you say you are liberal, conservative, or moderate? ","
What is your highest level of education? (High school or less, Some college, College degree, Graduate degree)",Q5OTH1,"
What is your race? (white, black, latino, asian, other)",Q6OTH1,"Do you approve, disapprove, or neither approve nor disapprove of how Donald Trump is handling his job as president? ","
In general, do you think Americans should be more trusting of foreigners, or more suspicious of foreigners?",Do you agree or disagree with the following statement: People should not be so easily offended. (probe: strongly or somewhat?),"
Do you think that people should be free to express their political opinions in the workplace without getting fired?",Do you think the government should place tighter restrictions on who can buy a gun?,"On average, black people are less highly educated than other groups. Do you think this is mostly because of a lack of effort, or mostly because of circumstances beyond their control?",Do you believe Vladimir Putin when he said that he did not interfere with the 2016 presidential election?,"From what you have seen or heard, do you think Black Lives Matter is offensive?","
Do you think the government should place tighter restrictions on who can smoke marijuana?","
Do you think professional athetes should be allowed to sit or kneel during the national anthem as part of a political protest?",Do you think the government should place tighter restrictions on who can have access to pornography?,"Do you live in a city, suburb, or small town?","People from small towns tend to be less highly educated than people from big cities. Do you think this is mostly because of a lack of effort, or mostly because of circumstances beyond their control?","If Jesus were alive today, do you think he would support Donald Trump?"
NE,66,Male,65+,Strong Republican,Strong Conservative,Some college,,Black,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,Yes,Yes,No,No,No,City,Lack of effort,Yes
NJ,61,Female,55-64,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,Don't Know/Refused,Lack of effort,No,Yes,Yes,No,Yes,Suburb,Lack of effort,Yes
NY,74,Female,65+,Not very Strong Republican,Not Very Strong Conservative,High school or less,,White,,Somewhat Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,Yes,No,No,No,Yes,City,Circumstances beyond their control,Don't Know/Refused
PA,47,Male,45-54,Strong Republican,Not Very Strong Conservative,Some college,,White,,Somewhat Disapprove,More trusting,Strongly Agree,Yes,Yes,Circumstances beyond their control,No,No,Yes,No,No,Suburb,Circumstances beyond their control,Yes
ID,36,Male,35-44,Not very Strong Republican,Strong Conservative,High school or less,,Don't Know/Refused,,Strongly Approve,Don't Know/Refused,Strongly Agree,Yes,No,Circumstances beyond their control,No,Yes,No,No,No,Don't Know/Refused,Circumstances beyond their control,Yes
UT,50,Male,45-54,Not very Strong Republican,Strong Conservative,College degree,,White,,Somewhat Approve,Don't Know/Refused,Strongly Agree,Yes,No,Don't Know/Refused,No,Yes,No,No,No,Suburb,Don't Know/Refused,Don't Know/Refused
KS,82,Female,65+,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More suspicious,Somewhat Disagree,Yes,No,Lack of effort,No,Don't Know/Refused,No,No,No,Small Town,Circumstances beyond their control,Yes
CA,18,Male,18-24,Not very Strong Republican,Moderate,High school or less,,Asian,,Neither Approve nor Disapprove,More trusting,Somewhat Disagree,Yes,Yes,Lack of effort,No,No,No,Yes,Yes,City,Circumstances beyond their control,No
MA,47,Male,45-54,Strong Republican,Moderate,Graduate degree,,White,,Somewhat Approve,More trusting,Somewhat Disagree,Yes,Yes,Circumstances beyond their control,Yes,No,Yes,Yes,Yes,Small Town,Circumstances beyond their control,Don't Know/Refused
NJ,73,Female,65+,Strong Republican,Don't Know/Refused,College degree,,Don't Know/Refused,,Strongly Approve,Don't Know/Refused,Somewhat Agree,No,Don't Know/Refused,Circumstances beyond their control,Yes,Yes,No,No,Yes,Suburb,Circumstances beyond their control,Yes
