Gender,Age,Age Range,"In politics today, do you consider yourself a Democrat, a Republican, or Independent?","Would you say you are liberal, conservative, or moderate?",What is your highest level of education?,Q5OTH1,What is your race?,Q6OTH1,Do you believe that Americans should be more inclusive of people with different backgrounds and perspectives?,Do you believe it is wrong to hold negative stereotypes about a group of people based on their beliefs?,Do you believe that men and women are equal in their talents and abilities?,"This past August, a man drove his car into a crowd of protestors at Charlottesville, killing one person and injuring nineteen others. Do you believe that Trump supporters are at least partly to blame for this act of violence?",Do you agree or disagree with the following statement: Liberals should make a greater effort to understand and respect Trump supporters.,And do you agree or disagree with this next statement: Liberal college students should be more welcoming of conservative speakers on campus.,"
And do you agree or disagree with this next statement: Whenever most scientists agree on an issue, we should believe the scientists. ",Do you believe that conservative Republicans are less compassionate than most people?,Do you believe that women in positions of power are better able to feel empathy than men?,Do you believe that women are better at multi-tasking than men?,Do you believe that most Trump supporters are racist?,Do you believe that genetically modified foods are safe to eat?,Do you believe that Muslims are at least partly to blame for acts of terrorism committed in the name of Islam?,Do you believe that America would be better or worse if everyone became gay?
Female,57,55-64,Strong Democrat,Moderate,High school or less,,White,,Yes,No,No,Yes,Agree,Disagree,Disagree,Yes,Yes,Yes,Yes,No,Yes,Worse
Female,74,65+,Not very strong Democrat,Moderate,High school or less,,White,,Yes,No,No,No,Agree,Agree,Disagree,No,No,Yes,No,No,Yes,Worse
Male,55,55-64,Not very strong Democrat,Moderate,High school or less,,White,,Yes,Yes,Yes,Yes,Disagree,Disagree,Agree,Yes,DON'T KNOW/REFUSED,Yes,Yes,No,Yes,DON'T KNOW/REFUSED
Male,52,45-54,Strong Democrat,Moderate,Graduate degree,,Black,,Yes,No,Yes,Yes,Disagree,Agree,DON'T KNOW/REFUSED,Yes,Yes,DON'T KNOW/REFUSED,Yes,DON'T KNOW/REFUSED,DON'T KNOW/REFUSED,Worse
Female,77,65+,Strong Democrat,Moderate,Graduate degree,,Black,,Yes,Yes,Yes,Yes,Disagree,Agree,Agree,No,Yes,Yes,No,No,No,Worse
Male,68,65+,Strong Democrat,Moderate,Graduate degree,,White,,Yes,Yes,Yes,Yes,Disagree,Agree,Agree,Yes,Yes,No,Yes,Yes,No,Worse
Female,60,55-64,Strong Democrat,Moderate,High school or less,,White,,No,Yes,Yes,Yes,Disagree,Agree,Disagree,No,No,Yes,Yes,No,No,DON'T KNOW/REFUSED
Male,73,65+,Strong Democrat,Moderate,High school or less,,Black,,Yes,Yes,Yes,Yes,Agree,Agree,Disagree,DON'T KNOW/REFUSED,Yes,Yes,DON'T KNOW/REFUSED,No,Yes,DON'T KNOW/REFUSED
Female,71,65+,Strong Democrat,Strong Liberal,Graduate degree,,DON'T KNOW/REFUSED,,Yes,Yes,Yes,Yes,Disagree,Agree,Agree,Yes,Yes,Yes,DON'T KNOW/REFUSED,No,Yes,DON'T KNOW/REFUSED
Female,30,25-34,Strong Democrat,Not very strong Liberal,Graduate degree,,Black,,Yes,Yes,Yes,No,Disagree,DON'T KNOW/REFUSED,Disagree,No,DON'T KNOW/REFUSED,DON'T KNOW/REFUSED,DON'T KNOW/REFUSED,Yes,No,DON'T KNOW/REFUSED
