Gender,Age,Age Range ,"In politics today, do you consider yourself a Democrat, a Republican, or Independent?","Would you say you are liberal, conservative, or moderate?","What is your highest level of education? (High school or less, Some college, College degree, Graduate degree)",Other,"
What is your race? (white, black, latino, asian, other)",Other,"Do you approve, disapprove, or neither approve nor disapprove of how Donald Trump is handling his job as president? (for ""approve"" or ""disapprove,"" probe: strongly or somewhat?)",Would you consider yourself pro-life or pro-choice?,"Are the people you interact with on a day-to-day basis, both in person and on social media, mostly conservatives, a mix of conservatives and liberals, or mostly liberals?",What's the first word that comes to your mind when you think of Donald Trump?,Other,Do you support or oppose Trump's plan to build a wall between Mexico and the United States?,"A number of women have accused Donald Trump of sexual misconduct. How likely is it that these allegations are true: very likely, somewhat likely, or not at all likely?","Has unemployment gone up, gone down, or stayed the same since Donald Trump became president?",True or false: Donald Trump has always publically opposed abortion.,How many times has Donald Trump been married?,Would you describe Donald Trump as a humble person?,"Donald Trump is 6 feet, 3 inches tall. If you had to guess, how much do you think he weighs?","According to reports of his recent medical exam, Donald Trump weighs 239 pounds. Do you think that number is too high, too low, or accurate?","If you were a Mexican trying to illegally enter the United States, do you think you could probably find a way to get past Trump's border wall?",Do you plan on voting for Donald Trump in 2020?,Q21
Female,85,65+,Democrat,Moderate,Some college,,Black,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,terrible person,,Oppose,Very Likely,Stayed the same,DK/REF,4,No,275,DK/REF,Yes,No,
Female,37,35-44,Democrat,Moderate,High school or less,,Black,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,arrogant,,Oppose,Very Likely,Stayed the same,TRUE,4,No,250,Accurate,No,No,
Female,74,65+,DK/REF,Moderate,Some college,,Black,,Neither approve nor disapprove,Pro-life,Mostly Liberals,"I don't even know. I'm undecided, I really don't know.",,Oppose,Very Likely,Stayed the same,DK/REF,2,No,270,Too low,No,No,
Female,60,55-64,Democrat,Moderate,High school or less,,Other,Native American,Strongly Disapprove,Pro-Choice,Mostly Liberals,trash,,Oppose,Very Likely,Gone down,TRUE,100,No,350,Too low,Yes,No,
Female,80,65+,Democrat,Moderate,High school or less,,Black,,Strongly Disapprove,Pro-Choice,Mostly Liberals,I really don't know.,,DK/REF,Not at all likely,DK/REF,TRUE,5,Yes,500,DK/REF,No,No,
Female,58,55-64,Independent,Conservative,Some college,,White,,Strongly Approve,Pro-life,Mix of conservatives and liberals,agressive,,Support,Not at all likely,Gone down,FALSE,3,No,239,Accurate,No,Yes,No
Female,54,45-54,Democrat,Liberal,Some college,,Black,,Neither approve nor disapprove,Pro-Choice,Mix of conservatives and liberals,I have no opinion.,,Oppose,DK/REF,DK/REF,DK/REF,6,No,190,Accurate,Yes,No,
Female,72,65+,Republican,Conservative,High school or less,,White,,Strongly Approve,Pro-life,Mostly Conservatives,good man,,Support,Not at all likely,Gone up,TRUE,3,Yes,195,Accurate,Yes,Yes,DK/REF
Male,50,45-54,Democrat,Liberal,College degree,,Black,,Somewhat Disapprove,Pro-Choice,Mix of conservatives and liberals,radical liberal,,Oppose,Somewhat Likely,Stayed the same,FALSE,3,Yes,250,Accurate,No,No,
Female,61,55-64,Democrat,Moderate,Graduate degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,dangerous,,Oppose,Very Likely,Gone down,DK/REF,2,No,270,Too low,Yes,No,
