What gender do you identify with? ,Age,Age Range,"In politics today, do you consider yourself a Democrat, a Republican, or Independent? ","Would you say you are liberal, conservative, or moderate? ",What is your highest level of education? ,Q5OTH1,What is your race?,,"Do you approve, disapprove, or neither approve nor disapprove of how Donald Trump is handling his job as president? ",Would you support a law that would limit the size of soft drinks and other sugary beverages served in restaurants to no more than 16 ounces?,Do you believe that prostitution should be against the law? ,Do you believe that it should be against the law to smoke marijuana for recreation?,Do you believe the sale of human organs for transplants should be against the law?,Would you consider yourself a religious person?,Do you think it should be against the law to take pain killers or other opiates without a prescription?,Would you consider yourself pro-life or pro-choice?,"Do you generally disapprove of people who pursue casual sex, hookups, or one-night-stands?","Based on your general impressions, would you say that people who smoke marijuana tend to have more casual sex than people who abstain from smoking marijuana?","If abortion became strictly banned, do you think women in general would become more willing to have casual sex, less willing to have casual sex, or behave no differently?",Do you agree or disagree with the following statement: A woman should have the right to do what she wants with her own body.,Do you agree or disagree with this next statement: Abortion is morally wrong.,And do you agree or disagree with this next statement: Sex without love is okay. ,Do you believe that an elected official who has committed sexual misconduct in their personal life can still behave ethically and fulfill their duties while in office?
Male,49,45-54,Independent,Conservative,Some college,,White,,Strongly Approve,No,DK/REF,Yes,Yes,"Yes, somewhat religious",Yes,Pro-Choice,No,No,Behave no differently,Strongly Agree,Somewhat Disagree,Strongly Agree,No
Male,53,45-54,Independent,Liberal,College degree,,Black,,Neither approve nor disapprove,No,No,No,No,"Yes, somewhat religious",Yes,Pro-Choice,No,No,Behave no differently,Strongly Agree,Somewhat Disagree,Strongly Agree,No
Female,58,55-64,Independent,Moderate,Some college,,Black,,Strongly Disapprove,No,No,Yes,No,"Yes, somewhat religious",No,Pro-Choice,No,DK/REF,Less Willing,Somewhat Agree,Somewhat Agree,Somewhat Agree,No
Female,75,65+,Democrat,Moderate,College degree,,Other,mixed race,Neither approve nor disapprove,Yes,Yes,Yes,Yes,"Yes, very religious",Yes,Pro-life,Yes,DK/REF,Behave no differently,Somewhat Agree,Strongly Agree,DK/REF,Yes
Female,58,55-64,Republican,Conservative,College degree,,White,,Strongly Approve,No,Yes,Yes,DK/REF,"Yes, very religious",Yes,Pro-life,Yes,Yes,Less Willing,Strongly Disagree,Strongly Agree,Strongly Disagree,DK/REF
Female,78,65+,Democrat,Conservative,College degree,,White,,Strongly Disapprove,No,Yes,Yes,No,"Yes, very religious",Yes,Pro-Choice,Yes,Yes,Behave no differently,Somewhat Agree,Strongly Agree,Strongly Disagree,Yes
Male,62,55-64,Republican,Moderate,College degree,,White,,Strongly Approve,No,No,No,Yes,No,No,Pro-life,No,DK/REF,Behave no differently,Strongly Agree,DK/REF,Somewhat Agree,Yes
Female,59,55-64,Democrat,Conservative,High school or less,,Black,,Neither approve nor disapprove,No,No,No,No,"Yes, very religious",No,DK/REF,No,DK/REF,Less Willing,Strongly Agree,Strongly Disagree,Somewhat Disagree,DK/REF
Male,21,18-24,Democrat,Liberal,Some college,,White,,Strongly Disapprove,Yes,No,No,DK/REF,"Yes, somewhat religious",Yes,Pro-Choice,No,No,Behave no differently,Strongly Agree,Somewhat Disagree,Strongly Agree,Yes
Male,59,55-64,Democrat,Moderate,High school or less,,Black,,Strongly Disapprove,Yes,Yes,Yes,Yes,"Yes, very religious",Yes,Pro-Choice,No,No,More Willing,Strongly Agree,Somewhat Agree,Strongly Agree,No
