What gender do you identify with?,Age,Age Range ,"In politics today, do you consider yourself a Democrat, a Republican, or Independent?","Would you say you are liberal, conservative, or moderate?","What is your highest level of education? (High school or less, Some college, College degree, Graduate degree)",Q5OTH1,"What is your race? (white, black, latino, asian, other)",Q6OTH1,"Do you approve, disapprove, or neither approve nor disapprove of how Donald Trump is handling his job as president? (for ""approve"" or ""disapprove,"" probe: strongly or somewhat?)","Would you say you are more knowledgable, less knowledgeable, or equally knowledgeable as the average American about political issues?","Would you say that your opinions about economic policy are well-informed, or not very well-informed?","How often do you get into arguments about politics? Never, once a year, once a month, once a week, or more than once a week?","If you had to guess the size of the federal budget, do you think it would be in millions, billions, or trillions?",Do you think it’s good for a country to have a high GDP or a low GDP?,"Can you name the three branches of government? (if they name legislative, executive, and judicial, mark ""correct""; otherwise, mark ""incorrect"")","Can you name one economist who is alive today? (write down the name they provide, ask for spelling)","If you had to guess, what percentage of economists believe that Trump’s decision to impose tariffs on steel and aluminum will improve American welfare?",True or false: The national crime rate is higher this decade than it was the previous decade.,"True or false: If a scientific study finds a correlation between poverty and crime, it proves that poverty causes crime.",True or false: The statue of liberty is located in Washington D.C.,"Who would you prefer as president of the United States, Barack Obama or Vladimir Putin?",q14x,q15x
Female,46,45-54,Independent,DK/REF,Some college,,Black,,Strongly Disapprove,More knowlegeable,Well Informed,Once a month,Trillions,High GDP,Correct,I don't remember.,0,FALSE,FALSE,FALSE,Barack Obama,,
Female,50,45-54,Democrat,DK/REF,Some college,,Black,,Strongly Disapprove,Equally knowlegeable,Well Informed,Once a month,Trillions,High GDP,Correct,I can't think of any.,2,FALSE,TRUE,FALSE,Barack Obama,,
Female,53,45-54,Independent,Strong Conservative,High school or less,,Black,,Somewhat Approve,Less knowlegeable,Not very well informed,Once a year,DK/REF,DK/REF,DK/REF,I don't know.,0,TRUE,TRUE,FALSE,Barack Obama,,
Male,63,55-64,Democrat,Strong Liberal,College degree,,White,,Strongly Disapprove,Equally knowlegeable,Well Informed,Never,Billions,DK/REF,Incorrect,I don't know.,0,FALSE,TRUE,FALSE,Barack Obama,,
DK/REF,58,55-64,Independent,DK/REF,High school or less,,Black,,Somewhat Disapprove,More knowlegeable,Well Informed,Never,Millions,High GDP,DK/REF,I don't know.,50,TRUE,FALSE,TRUE,Barack Obama,,
Male,38,35-44,Democrat,DK/REF,High school or less,,Black,,Neither approve nor disapprove,More knowlegeable,Well Informed,Once a week,Billions,High GDP,Correct,WARREN BUFFET,5,FALSE,TRUE,DK/REF,Barack Obama,,
Female,54,45-54,Republican,Strong Conservative,High school or less,,White,,Strongly Approve,More knowlegeable,Well Informed,Once a month,Trillions,High GDP,Correct,LARRY KUDLOW,0,FALSE,TRUE,FALSE,DK/REF,,
Female,32,25-34,Democrat,DK/REF,College degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Once a week,Trillions,High GDP,Correct,I don't know.,25,TRUE,FALSE,FALSE,Barack Obama,,
Male,82,65+,Republican,Strong Conservative,Some college,,White,,Somewhat Approve,More knowlegeable,Well Informed,Once a month,Billions,High GDP,Incorrect,I don't know.,20,TRUE,DK/REF,TRUE,DK/REF,,
Male,42,35-44,Republican,Not Very Strong conservative,Some college,,White,,Neither approve nor disapprove,More knowlegeable,Not very well informed,Once a week,Billions,DK/REF,Incorrect,I don't know.,20,FALSE,FALSE,FALSE,Barack Obama,,
Female,30,25-34,DK/REF,DK/REF,Some college,,Black,,Strongly Disapprove,Equally knowlegeable,Well Informed,Never,DK/REF,DK/REF,Incorrect,I don't know.,0,TRUE,TRUE,FALSE,Barack Obama,,
Male,48,45-54,Independent,DK/REF,Graduate degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Once a week,Trillions,High GDP,Correct,Ben Bernanke,50,FALSE,FALSE,FALSE,Barack Obama,,
Female,25,25-34,Republican,Strong Conservative,High school or less,,White,,DK/REF,Less knowlegeable,Not very well informed,Never,DK/REF,DK/REF,DK/REF,I don't know.,0,TRUE,TRUE,FALSE,DK/REF,,
Female,48,45-54,Democrat,DK/REF,High school or less,,White,,Somewhat Disapprove,Equally knowlegeable,Not very well informed,Once a month,Trillions,DK/REF,DK/REF,I don't know.,0,DK/REF,FALSE,DK/REF,Barack Obama,,
Male,68,65+,Independent,Strong Conservative,Graduate degree,,White,,Strongly Approve,More knowlegeable,Well Informed,Never,Trillions,High GDP,Correct,Allan Greenspan,0,TRUE,FALSE,DK/REF,DK/REF,,
Female,47,45-54,Democrat,DK/REF,Some college,,Black,,Strongly Disapprove,Equally knowlegeable,Well Informed,Never,Trillions,High GDP,Incorrect,Ralph Nader,60,FALSE,FALSE,FALSE,Barack Obama,,
Female,77,65+,Democrat,Not Very Strong conservative,College degree,,White,,Strongly Disapprove,More knowlegeable,Not very well informed,Once a year,Billions,Low GDP,Incorrect,I don't know.,50,TRUE,FALSE,FALSE,Barack Obama,,
Female,41,35-44,DK/REF,DK/REF,Graduate degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Never,DK/REF,DK/REF,Incorrect,I don't know.,10,TRUE,FALSE,FALSE,Barack Obama,,
Female,62,55-64,Democrat,DK/REF,Graduate degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Once a month,Trillions,High GDP,Correct,I don't know.,0,FALSE,FALSE,FALSE,Barack Obama,,
Male,49,45-54,Republican,Not Very Strong conservative,Graduate degree,,White,,Somewhat Approve,More knowlegeable,Well Informed,Once a week,Trillions,High GDP,Correct,Milton Friedman,40,TRUE,FALSE,FALSE,Barack Obama,,
Male,54,45-54,Independent,DK/REF,High school or less,,White,,DK/REF,Less knowlegeable,Not very well informed,Never,DK/REF,DK/REF,DK/REF,I don't know.,15,TRUE,TRUE,FALSE,DK/REF,,
Female,65,65+,Republican,DK/REF,High school or less,,White,,Strongly Approve,Equally knowlegeable,Well Informed,DK/REF,Trillions,DK/REF,Incorrect,I don't know.,40,TRUE,DK/REF,FALSE,DK/REF,,
Female,42,35-44,Republican,DK/REF,Some college,,White,,Somewhat Approve,Equally knowlegeable,Not very well informed,Never,Trillions,Low GDP,Incorrect,Linbaugh Rush,65,TRUE,TRUE,FALSE,DK/REF,,
