Q1: What gender do you identify with? ,Q2: What is your age? ,Q2: Age range,"Q3: In politics today, do you consider yourself a Democrat, a Republican, or Independent? ","Q4: Would you say you are liberal, conservative, or moderate?",Q5: What is your highest level of education? ,Q5: Other ,Q6: What is your race?,Q6: Other ,"Q7: Do you approve, disapprove, or neither approve nor disapprove of how Donald Trump is handling his job as president? ",Q8: Do you have a Twitter account? ,Q8A: How often do you go on Twitter?,Q8B: Have you ever tweeted at the President? ,Q9: Do you believe that Russia interfered with the 2016 Presidential Election? ,Q10: Would you support military action against Russia in response to their interference with the 2016 Presidential Election? ,Q11: Did you support the 2003 Iraq War?,Q12: How likely is it that the United States will be invaded by a foreign power in the next decade?,Q13: Do you believe that the United States has the right to help overthrow governments that are hostile to American interests? ,Q14: Do you believe that the United States has interfered with the democratic elections of other nations in the past?,Q15: Some commentators have suggested that the Parkland school shooting was staged in order to get guns banned in America. Do you believe that the shooting was staged and that the survivors were paid actors?,"Q16: Do you believe that there is a ""deep state"" in America that is conspiring to undermine the Trump Presidency? ","Q17: Which type of news sources do you think produces more fake news: conservative news sources, liberal news sources, or both equally? ",Q18: What is more important to you when deciding whether something is true: science or common sense? ,Q19: Do you believe that the Russians posess a videotape containing footage of Donald Trump watching prostitutes urinating in front of him? ,"Q20: If you had to guess, what percentage of the country is currently under Sharia law?",Q20: DK/REF,"Q21: Do you believe that professional wrestling, like the WWE, is real or staged? ",Q22: Do you believe that the Earth is flat? 
Male,71,65+,Democrat,Not Very Strong conservative,High school or less,,Latino,,Strongly Disapprove,No,,,Yes,No,No,Somewhat Likely,No,No,No,No,Both Equally,Common Sense,No,50,,Real,No
Male,63,55-64,Democrat,Moderate,College degree,,Other,Mixed,Strongly Disapprove,No,,,No,,No,Not at all likely,No,Yes,No,No,Conservative News Sources,Common Sense,Yes,,DK/REF,Staged,No
Female,75,65+,DK/REF,DK/REF,High school or less,,White,,Somewhat Disapprove,No,,,DK/REF,,No,Somewhat Likely,No,DK/REF,No,DK/REF,Both Equally,Common Sense,No,,DK/REF,Staged,No
Male,61,55-64,Independent,Moderate,Some college,,Latino,,DK/REF,No,,,No,,Yes,Not at all likely,Yes,No,No,Yes,Liberal News Sources,Common Sense,Yes,,DK/REF,Staged,No
Female,65,65+,Democrat,Moderate,High school or less,,Black,,Strongly Disapprove,No,,,DK/REF,,DK/REF,Somewhat Likely,Yes,Yes,No,DK/REF,Both Equally,Common Sense,DK/REF,,DK/REF,Staged,No
Male,75,65+,Democrat,Strong Conservative,Graduate degree,,Black,,Strongly Disapprove,No,,,Yes,No,Yes,Not at all likely,Yes,No,No,No,Both Equally,Common Sense,No,,DK/REF,Real,No
Female,64,55-64,Democrat,Moderate,College degree,,Black,,Neither approve nor disapprove,No,,,Yes,Yes,Yes,Somewhat Likely,No,Yes,No,No,Both Equally,Science,No,,DK/REF,Staged,No
Male,70,65+,Democrat,DK/REF,College degree,,Black,,Somewhat Disapprove,No,,,DK/REF,,No,Not at all likely,Yes,Yes,Yes,Yes,DK/REF,Common Sense,DK/REF,,DK/REF,DK/REF,No
Female,62,55-64,Independent,Strong Liberal,High school or less,,Black,,Strongly Disapprove,No,,,Yes,Yes,Yes,Not at all likely,DK/REF,DK/REF,No,No,DK/REF,Common Sense,Yes,,DK/REF,DK/REF,DK/REF
Female,76,65+,Republican,Not Very Strong conservative,Some college,,Black,,Somewhat Approve,No,,,Yes,No,Yes,Somewhat Likely,Yes,No,No,Yes,Liberal News Sources,Common Sense,No,,DK/REF,Staged,No
