What gender do you identify with?,What is your age?,Age Range,"In politics today, do you consider yourself a Democrat, a Republican, or Independent? (for Democrats and Republicans, probe: strong [Democrat/Republican] or not very strong [Democrat/Republican]?)","[If Q3 = Republican] If scientific evidence proved that the policies favored by Democrats improved the economy, lowered crime, and made citizens more happy, would you become a Democrat?","[If Q3 = Democrat] If scientific evidence proved that the policies favored by Republicans improved the economy, lowered crime, and made citizens more happy, would you become a Republican?","Would you say you are liberal, conservative, or moderate? (for liberals and conservatives, probe: strong [liberal/conservative] or not very strong [liberal/conservative]?)","What is your highest level of education? (High school or less, Some college, College degree, Graduate degree)",Q7OTH1,"What is your race? (white, black, latino, asian, other)",Q8OTH1,"Do you approve, disapprove, or neither approve nor disapprove of how Donald Trump is handling his job as president? (for ""approve"" or ""disapprove,"" probe: strongly or somewhat?)",Do you believe the government should make sure that Americans have access to clean air and drinking water?,Do you believe that voting in federal elections should be optional or mandatory?,Do you believe it is morally wrong to endorse negative stereotypes about a group of people based on where they were born?,Do you agree or disagree with the following statement: People need to have more respect for authority in this country.,And do you agree or disagree with this next statement: Nobody deserves a free handout from the government.,"Would you say that your opinions on climate change policy are well-informed, or not very well-informed?",Would you support the elimination of the Environmental Protection agency?,"In general, do you believe that American businesses should resist government regulations that they perceive to be unfair?",Do you believe that nuclear power plants produce carbon emissions that contribute to climate change?,"If more people turned out to vote in elections, do you think it would help the Democrats more, help the Republicans more, or make no difference?","Do you believe the government should do more to help small, working class towns in America's heartland?","In general, would you say that people from the south are more racist than people from other parts of the country?"
Female,55,55-64,Independent,,,Moderate,Some college,,White,,Strongly Disapprove,Yes,DK/REF,Yes,Strongly Agree,Strongly Disagree,Well-informed,No,Yes,Yes,Help Democrats more,Yes,Yes
Female,34,25-34,Strong Democrat,,No,Strong Liberal,Graduate degree,,White,,Strongly Disapprove,Yes,Optional,Yes,Strongly Disagree,Strongly Disagree,Well-informed,No,No,Yes,Help Democrats more,No,DK/REF
Male,49,45-54,DK/REF,,,Moderate,College degree,,White,,Strongly Approve,Yes,Optional,DK/REF,Strongly Agree,Somewhat Agree,Well-informed,No,No,Yes,DK/REF,Yes,No
Male,41,35-44,Independent,,,Strong Conservative,High school or less,,White,,Neither approve nor disapprove,Yes,Optional,Yes,Strongly Agree,Strongly Agree,Not Very Well-informed,Yes,Yes,DK/REF,Make no Difference,Yes,No
Female,65,65+,Independent,,,Moderate,Graduate degree,,White,,Strongly Disapprove,Yes,Optional,Yes,Somewhat Disagree,Somewhat Disagree,Well-informed,No,No,Yes,Help Democrats more,Yes,Yes
Female,62,55-64,Strong Republican,Yes,,Not Very Strong Conservative,Graduate degree,,White,,Somewhat Approve,Yes,Optional,Yes,Somewhat Disagree,Somewhat Disagree,Well-informed,No,No,No,Make no Difference,Yes,No
Female,83,65+,Independent,,,Moderate,High school or less,,White,,Somewhat Approve,Yes,Optional,No,Strongly Agree,Strongly Agree,Not Very Well-informed,No,No,Yes,Make no Difference,Yes,No
Male,25,25-34,Independent,,,Strong Conservative,Some college,,Black,,Neither approve nor disapprove,Yes,Optional,Yes,Somewhat Agree,Strongly Agree,Well-informed,No,No,Yes,DK/REF,Yes,DK/REF
Male,46,45-54,Strong Republican,No,,Strong Conservative,College degree,,White,,Strongly Approve,Yes,Optional,No,Strongly Agree,Strongly Agree,Well-informed,Yes,Yes,No,Make no Difference,Yes,No
Female,44,35-44,Not Very strong Democrat,,No,Not Very Strong Liberal,College degree,,White,,Strongly Disapprove,Yes,Optional,Yes,Somewhat Disagree,Somewhat Disagree,Not Very Well-informed,No,DK/REF,Yes,Help Democrats more,DK/REF,DK/REF
Male,56,55-64,DK/REF,,,Not Very Strong Liberal,High school or less,,White,,Strongly Disapprove,Yes,Mandatory,Yes,Somewhat Agree,Strongly Agree,Well-informed,DK/REF,No,Yes,Make no Difference,Yes,Yes
Male,69,65+,Strong Republican,No,,Strong Conservative,High school or less,,White,,Strongly Approve,Yes,DK/REF,No,Strongly Agree,DK/REF,Well-informed,No,DK/REF,No,Help Republicans more,No,No
Male,55,55-64,DK/REF,,,DK/REF,Some college,,Black,,DK/REF,Yes,Optional,No,Strongly Agree,Somewhat Agree,Not Very Well-informed,No,Yes,Yes,Make no Difference,Yes,No
Male,22,18-24,Not Very strong Democrat,,No,Moderate,Some college,,White,,Somewhat Approve,Yes,Optional,Yes,Somewhat Agree,Strongly Agree,Well-informed,No,Yes,No,Make no Difference,Yes,No
Male,67,65+,Strong Democrat,,No,Moderate,High school or less,,White,,Strongly Disapprove,Yes,Optional,No,Strongly Agree,Strongly Agree,Well-informed,Yes,Yes,No,Help Democrats more,Yes,Yes
Female,39,35-44,Independent,,,Strong Liberal,College degree,,White,,Strongly Disapprove,Yes,Optional,Yes,Somewhat Agree,Strongly Disagree,Well-informed,No,Yes,No,Help Democrats more,Yes,No
Male,74,65+,Not Very strong Democrat,,DK/REF,Moderate,Graduate degree,,White,,Neither approve nor disapprove,Yes,Optional,Yes,Strongly Agree,Somewhat Disagree,Well-informed,No,No,No,Help Democrats more,Yes,No
Female,69,65+,Strong Democrat,,No,Moderate,Some college,,White,,Strongly Disapprove,Yes,Mandatory,Yes,Somewhat Disagree,DK/REF,Well-informed,No,Yes,Yes,Help Democrats more,No,Yes
